source,ville,nom,note,prix,type,lien,localisation,latitude,longitude,description,categorie,interets,disponibilite,type_sejour,date_scraping,equipements
Booking.com,Tunis,Hotel Dar Ali,7.0,207.0,Hôtel,https://www.booking.com/hotel/tn/dar-ali-tunis.fr.html?aid=304142&label=gen173nr-1FCAQoggJCFXNlYXJjaF90dW5pcywgdHVuaXNpZUgNWARo4gGIAQGYAQ24ARfIAQzYAQHoAQH4AQOIAgGoAgO4AsvfusIGwAIB0gIkZmEyZTAwZTQtOWI0OC00NTA0LTg3MjQtNzM5ZmI0NTU0MWQz2AIF4AIB&ucfs=1&arphpl=1&checkin=2025-06-25&checkout=2025-06-27&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=price&nflt=ht_id%3D204&srpvid=14f85165fc2b03cd&srepoch=1749987276&all_sr_blocks=930809905_414270509_2_0_0&highlighted_blocks=930809905_414270509_2_0_0&matching_block_id=930809905_414270509_2_0_0&sr_pri_blocks=930809905_414270509_2_0_0__6120&from=searchresults,Tunis,36.8002068,10.1857757,Vous pouvez peut-être bénéficier dune réduction Genius dans létablissement Hotel Dar Ali Connectez-vous pour voir si une réduction Genius est disponible à vos dates Les réductions Genius proposées par cet établissement dépendent des dates de réservation des dates de séjour et des autres offres disponibles Létablissement Hotel Dar Ali vous accueille à Tunis à respectivement 15 km et 800 mètres de ces lieux dintérêt  Salammbo Tophet Archaeological Museum et Dar Ben Abdallah Museum Il propose des hébergements dotés de la climatisation et dune salle de bains privative Disposant dune connexion Wi-Fi gratuite cet hôtel est à respectivement 800 mètres et 1 km environ de  Théâtre municipal de Tunis et Dar Bach Hamba Vous profiterez dune bagagerie et dun service de change Vous bénéficierez dune salle de bains privative avec une douche et des articles de toilette gratuits Les hébergements comportent également une vue sur la ville Vous profiterez aussi dune télévision à écran plat avec les chaînes du satellite Parlant arabe anglais et français le personnel de la réception se fera un plaisir de vous aider à tout moment Vous séjournerez à proximité de ces lieux dintérêt  Bab El Bhar - Porte de France Place de la Victoire et Tourbet El Bey Laéroport le plus proche Aéroport de Tunis-Carthage est à 11 km Les distances indiquées dans la description de létablissement sont calculées avec  OpenStreetMap,Hébergement,Culture,Oui,Court séjour,2025-06-15,
Booking.com,Tunis,Hotel Saint Georges Tunis,6.0,208.0,Hôtel,https://www.booking.com/hotel/tn/saint-georges.fr.html?aid=304142&label=gen173nr-1FCAQoggJCFXNlYXJjaF90dW5pcywgdHVuaXNpZUgNWARo4gGIAQGYAQ24ARfIAQzYAQHoAQH4AQOIAgGoAgO4AsvfusIGwAIB0gIkZmEyZTAwZTQtOWI0OC00NTA0LTg3MjQtNzM5ZmI0NTU0MWQz2AIF4AIB&ucfs=1&arphpl=1&checkin=2025-06-25&checkout=2025-06-27&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=price&nflt=ht_id%3D204&srpvid=14f85165fc2b03cd&srepoch=1749987276&all_sr_blocks=17943402_344584368_2_0_0&highlighted_blocks=17943402_344584368_2_0_0&matching_block_id=17943402_344584368_2_0_0&sr_pri_blocks=17943402_344584368_2_0_0__6142&from=searchresults,Tunis,36.8002068,10.1857757,Lhôtel Saint Georges propose des hébergements simples et confortables à proximité de toutes les principales attractions de la capitale animée de Tunis Les chambres douillettes et fonctionnelles comprennent une salle de bains privative une table et une armoire En été elles sont climatisées Lhôtel Saint Georges Tunis dispose également dune salle de petit-déjeuner dun salon de télévision et dune terrasse où vous pourrez vous détendre avec une boisson Il abrite aussi un restaurant un bar et des magasins Pratique pour les personnes visitant la région en voiture le parking gratuit sur place est surveillé la nuit Les distances indiquées dans la description de létablissement sont calculées avec  OpenStreetMap,Hébergement,Gastronomie,Oui,Court séjour,2025-06-15,
Booking.com,Tunis,Hotel Marhaba - Beb Bhar Tunis,5.0,231.0,Hôtel,https://www.booking.com/hotel/tn/marhaba-tunis-tunis2.fr.html?aid=304142&label=gen173nr-1FCAQoggJCFXNlYXJjaF90dW5pcywgdHVuaXNpZUgNWARo4gGIAQGYAQ24ARfIAQzYAQHoAQH4AQOIAgGoAgO4AsvfusIGwAIB0gIkZmEyZTAwZTQtOWI0OC00NTA0LTg3MjQtNzM5ZmI0NTU0MWQz2AIF4AIB&ucfs=1&arphpl=1&checkin=2025-06-25&checkout=2025-06-27&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=price&nflt=ht_id%3D204&srpvid=14f85165fc2b03cd&srepoch=1749987276&all_sr_blocks=1141752101_387016875_2_0_0&highlighted_blocks=1141752101_387016875_2_0_0&matching_block_id=1141752101_387016875_2_0_0&sr_pri_blocks=1141752101_387016875_2_0_0__6840&from=searchresults,Médina Tunis,36.7986935,10.1717399,Létablissement Hotel Marhaba - Beb Bhar Tunis est idéalement situé dans le quartier Médina de Tunis à respectivement 16 km 400 mètres et 600 mètres de ces lieux dintérêt  Salammbo Tophet Archaeological Museum Dar Bach Hamba et Dar Ben Abdallah Museum Il comprend un service de concierge et une terrasse Les hébergements offrent une vue sur la ville et disposent de la climatisation dun bureau et dune connexion Wi-Fi gratuite Tous les hébergements comprennent une armoire Vous profiterez dune télévision à écran plat et darticles de toilette gratuits Vous séjournerez à proximité de ces lieux dintérêt  Bab El Bhar - Porte de France Place de la Victoire et Théâtre municipal de Tunis Laéroport le plus proche Aéroport de Tunis-Carthage est à 11 km Les distances indiquées dans la description de létablissement sont calculées avec  OpenStreetMap,Hébergement,Culture,Oui,Court séjour,2025-06-15,
Booking.com,Tunis,Le Parisien Tunis,8.0,262.0,Hôtel,https://www.booking.com/hotel/tn/le-parisien-tunis.fr.html?aid=304142&label=gen173nr-1FCAQoggJCFXNlYXJjaF90dW5pcywgdHVuaXNpZUgNWARo4gGIAQGYAQ24ARfIAQzYAQHoAQH4AQOIAgGoAgO4AsvfusIGwAIB0gIkZmEyZTAwZTQtOWI0OC00NTA0LTg3MjQtNzM5ZmI0NTU0MWQz2AIF4AIB&ucfs=1&arphpl=1&checkin=2025-06-25&checkout=2025-06-27&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=price&nflt=ht_id%3D204&srpvid=14f85165fc2b03cd&srepoch=1749987276&all_sr_blocks=1323166803_408630920_0_0_0&highlighted_blocks=1323166803_408630920_0_0_0&matching_block_id=1323166803_408630920_0_0_0&sr_pri_blocks=1323166803_408630920_0_0_0__7740&from=searchresults,Tunis,36.8002068,10.1857757,Létablissement Le Parisien Tunis se situe à Tunis à 16 km de ce lieu dintérêt  Salammbo Tophet Archaeological Museum Il offre une vue sur la ville Cet hôtel 2 étoiles propose une connexion Wi-Fi gratuite et un restaurant Vous profiterez dune réception ouverte 24h24 et dun service de change Les hébergements sont dotés dune télévision à écran plat Vous profiterez dune salle de bains privative et de linge de lit Un petit-déjeuner continental est servi sur place Vous séjournerez à proximité de ces lieux dintérêt  Cathedral of St Vincent de Paul Bab El Bhar - Porte de France et Place de la Victoire Laéroport le plus proche Aéroport de Tunis-Carthage est à 10 km Les distances indiquées dans la description de létablissement sont calculées avec  OpenStreetMap,Hébergement,"Culture,Gastronomie",Oui,Court séjour,2025-06-15,
Booking.com,Tunis,Hôtel le calife,7.0,265.0,Hôtel,https://www.booking.com/hotel/tn/le-calife.fr.html?aid=304142&label=gen173nr-1FCAQoggJCFXNlYXJjaF90dW5pcywgdHVuaXNpZUgNWARo4gGIAQGYAQ24ARfIAQzYAQHoAQH4AQOIAgGoAgO4AsvfusIGwAIB0gIkZmEyZTAwZTQtOWI0OC00NTA0LTg3MjQtNzM5ZmI0NTU0MWQz2AIF4AIB&ucfs=1&arphpl=1&checkin=2025-06-25&checkout=2025-06-27&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=price&nflt=ht_id%3D204&srpvid=14f85165fc2b03cd&srepoch=1749987276&all_sr_blocks=413643401_278756311_0_0_0&highlighted_blocks=413643401_278756311_0_0_0&matching_block_id=413643401_278756311_0_0_0&sr_pri_blocks=413643401_278756311_0_0_0__7830&from=searchresults,Médina Tunis,36.7986935,10.1717399,Vous pouvez peut-être bénéficier dune réduction Genius dans létablissement Hôtel le calife Connectez-vous pour voir si une réduction Genius est disponible à vos dates Les réductions Genius proposées par cet établissement dépendent des dates de réservation des dates de séjour et des autres offres disponibles Létablissement Hôtel le calife bénéficie dun emplacement stratégique dans le quartier Médina de Tunis à respectivement 16 km 500 mètres et 500 mètres de ces lieux dintérêt  Salammbo Tophet Archaeological Museum Bab El Bhar - Porte de France et Place de la Victoire Cet hôtel 2 étoiles propose des hébergements dotés de la climatisation dune salle de bains privative et dune connexion Wi-Fi gratuite Les hébergements comportent un balcon offrant une vue sur la ville Tous les hébergements comprennent une armoire Vous profiterez dune télévision à écran plat et darticles de toilette gratuits Parlant arabe anglais et français le personnel de la réception se fera un plaisir de vous donner des conseils pratiques sur la région Vous séjournerez à proximité de ces lieux dintérêt  Sidi Mahrez Mosque Cathedral of St Vincent de Paul et Dar Lasram Museum Laéroport le plus proche Aéroport de Tunis-Carthage est à 10 km Les distances indiquées dans la description de létablissement sont calculées avec  OpenStreetMap,Hébergement,Culture,Oui,Court séjour,2025-06-15,
Booking.com,Tunis,Hotel Excellence,5.0,292.0,Hôtel,https://www.booking.com/hotel/tn/excellence.fr.html?aid=304142&label=gen173nr-1FCAQoggJCFXNlYXJjaF90dW5pcywgdHVuaXNpZUgNWARo4gGIAQGYAQ24ARfIAQzYAQHoAQH4AQOIAgGoAgO4AsvfusIGwAIB0gIkZmEyZTAwZTQtOWI0OC00NTA0LTg3MjQtNzM5ZmI0NTU0MWQz2AIF4AIB&ucfs=1&arphpl=1&checkin=2025-06-25&checkout=2025-06-27&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=price&nflt=ht_id%3D204&srpvid=14f85165fc2b03cd&srepoch=1749987276&all_sr_blocks=235456001_0_2_1_0&highlighted_blocks=235456001_0_2_1_0&matching_block_id=235456001_0_2_1_0&sr_pri_blocks=235456001_0_2_1_0__8638&from=searchresults,Tunis,36.8002068,10.1857757,Bénéficiant dune connexion Wi-Fi gratuite dans lensemble de ses locaux létablissement Hotel Excellence se situe à Tunis à respectivement 32 km et 56 km de ces lieux dintérêt  Parc du Belvédère et Cathedral of St Vincent de Paul Il se trouve à respectivement 59 km 59 km et 62 km de  Bab El Bhar - Porte de France Place de la Victoire et Théâtre municipal de Tunis Cet établissement non-fumeurs vous accueille à 17 km de  Salammbo Tophet Archaeological Museum Létablissement propose des hébergements dotés de la climatisation dune armoire dun coffre-fort dune télévision à écran plat et dune salle de bains privative pourvue dune baignoire Parlant arabe anglais et français le personnel de la réception ouverte 24h24 pourra vous aider à planifier votre séjour Vous séjournerez à respectivement 67 km et 71 km de ces lieux dintérêt  The National Bardo Museum et Sidi Mahrez Mosque Laéroport le plus proche Aéroport de Tunis-Carthage est à 10 km Les distances indiquées dans la description de létablissement sont calculées avec  OpenStreetMap,Hébergement,"Culture,Nature",Oui,Court séjour,2025-06-15,
Booking.com,Tunis,Hotel Ibn Khaldoun,7.0,301.0,Hôtel,https://www.booking.com/hotel/tn/yadis-ibn-khaldoun.fr.html?aid=304142&label=gen173nr-1FCAQoggJCFXNlYXJjaF90dW5pcywgdHVuaXNpZUgNWARo4gGIAQGYAQ24ARfIAQzYAQHoAQH4AQOIAgGoAgO4AsvfusIGwAIB0gIkZmEyZTAwZTQtOWI0OC00NTA0LTg3MjQtNzM5ZmI0NTU0MWQz2AIF4AIB&ucfs=1&arphpl=1&checkin=2025-06-25&checkout=2025-06-27&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=price&nflt=ht_id%3D204&srpvid=14f85165fc2b03cd&srepoch=1749987276&all_sr_blocks=4772501_0_2_0_0&highlighted_blocks=4772501_0_2_0_0&matching_block_id=4772501_0_2_0_0&sr_pri_blocks=4772501_0_2_0_0__8906&from=searchresults,Tunis,36.8002068,10.1857757,Vous pouvez peut-être bénéficier dune réduction Genius dans létablissement Hotel Ibn Khaldoun Connectez-vous pour voir si une réduction Genius est disponible à vos dates Les réductions Genius proposées par cet établissement dépendent des dates de réservation des dates de séjour et des autres offres disponibles LHotel Ibn Khaldoun est idéalement situé dans le centre-ville de Tunis à seulement 20 minutes à pied de la médina historique et des magnifiques cathédrales de Saint-Vincent-de-Paul et de Saint-Olivia de Palerme Bénéficiant dun emplacement stratégique cet hôtel offre un accès facile aux trésors culturels de Tunis tels que Sidi Bou Saïd et le théâtre romain de Carthage En 2023 lhôtel a été rénové dans le but de lui donner une touche moderne tout en préservant son caractère authentique et convivial Que vous voyagiez pour le plaisir pour des affaires ou pour des soins médicaux lHotel Ibn Khaldoun répond à vos besoins et exigences les plus particuliers Situé à seulement 15 minutes de laéroport de Tunis Carthage cet établissement constitue un pied-à-terre idéal pour explorer la ville et ses environs Les chambres confortables et élégantes seront votre havre de paix après une journée de visites De plus la proximité de létablissement avec les transports en commun permet daccéder facilement à tous les sites dintérêt de Tunis Léquipe dévouée est prête à rendre votre séjour mémorable que vous soyez ici pour explorer les merveilles historiques mener des affaires fructueuses ou recevoir des soins médicaux de qualité LHotel Ibn Khaldoun vous accueille chaleureusement pour vous garantir une expérience inoubliable à chaque visite Réservez maintenant et découvrez le charme de Tunis depuis un emplacement privilégié LHotel Ibn Khaldoun est idéalement situé dans le centre-ville de Tunis à seulement 20 minutes à pied de la médina historique et des magnifiques cathédrales de Saint-Vincent-de-Paul et de Saint-Olivia de Palerme Bénéficiant dun emplacement stratégique cet hôtel offre un accès facile aux trésors culturels de Tunis tels que Sidi Bou Saïd et le théâtre romain de Carthage En 2023 lhôtel a été rénové dans le but de lui donner une touche moderne tout en préservant son caractère authentique et convivial Que vous voyagiez pour le plaisir pour des affaires ou pour des soins médicaux lHotel Ibn Khaldoun répond à vos besoins et exigences les plus particuliers Situé à seulement 15 minutes de laéroport de Tunis Carthage cet établissement constitue un pied-à-terre idéal pour explorer la ville et ses environs Les chambres confortables et élégantes seront votre havre de paix après une journée de visites De plus la proximité de létablissement avec les transports en commun permet daccéder facilement à tous les sites dintérêt de Tunis Léquipe dévouée est prête à rendre votre séjour mémorable que vous soyez ici pour explorer les merveilles historiques mener des affaires fructueuses ou recevoir des soins médicaux de qualité LHotel Ibn Khaldoun vous accueille chaleureusement pour vous garantir une expérience inoubliable à chaque visite Réservez maintenant et découvrez le charme de Tunis depuis un emplacement privilégié Les distances indiquées dans la description de létablissement sont calculées avec  OpenStreetMap,Hébergement,"Plage,Culture",Oui,Court séjour,2025-06-15,
Booking.com,Tunis,MONDIAL HOTEL,6.0,304.0,Hôtel,https://www.booking.com/hotel/tn/mondial.fr.html?aid=304142&label=gen173nr-1FCAQoggJCFXNlYXJjaF90dW5pcywgdHVuaXNpZUgNWARo4gGIAQGYAQ24ARfIAQzYAQHoAQH4AQOIAgGoAgO4AsvfusIGwAIB0gIkZmEyZTAwZTQtOWI0OC00NTA0LTg3MjQtNzM5ZmI0NTU0MWQz2AIF4AIB&ucfs=1&arphpl=1&checkin=2025-06-25&checkout=2025-06-27&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=price&nflt=ht_id%3D204&srpvid=14f85165fc2b03cd&srepoch=1749987276&all_sr_blocks=592923303_385706991_0_2_0_174141&highlighted_blocks=592923303_385706991_0_2_0_174141&matching_block_id=592923303_385706991_0_2_0_174141&sr_pri_blocks=592923303_385706991_0_2_0_174141_9000&from=searchresults,Tunis,36.8002068,10.1857757,Létablissement MONDIAL HOTEL se trouve à Tunis à respectivement 18 km et 800 mètres de ces lieux dintérêt  Salammbo Tophet Archaeological Museum et Sidi Mahrez Mosque Cet hôtel 2 étoiles propose un restaurant ainsi que des hébergements dotés de la climatisation dune connexion Wi-Fi gratuite et dune salle de bains privative Vous pourrez profiter dun service détage dune réception ouverte 24h24 et dun service de change Vous profiterez dune télévision à écran plat et darticles de toilette gratuits Vous séjournerez à proximité de ces lieux dintérêt  Dar Lasram Museum Kasbah Square et Kasbah Mosque Laéroport le plus proche Aéroport de Tunis-Carthage est à 12 km Les distances indiquées dans la description de létablissement sont calculées avec  OpenStreetMap,Hébergement,"Culture,Gastronomie",Oui,Court séjour,2025-06-15,
Booking.com,Tunis,Saheb Ettabaa Tunis,4.0,304.0,Hôtel,https://www.booking.com/hotel/tn/saheb-ettabaa-tunis.fr.html?aid=304142&label=gen173nr-1FCAQoggJCFXNlYXJjaF90dW5pcywgdHVuaXNpZUgNWARo4gGIAQGYAQ24ARfIAQzYAQHoAQH4AQOIAgGoAgO4AsvfusIGwAIB0gIkZmEyZTAwZTQtOWI0OC00NTA0LTg3MjQtNzM5ZmI0NTU0MWQz2AIF4AIB&ucfs=1&arphpl=1&checkin=2025-06-25&checkout=2025-06-27&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=price&nflt=ht_id%3D204&srpvid=14f85165fc2b03cd&srepoch=1749987276&all_sr_blocks=965649202_369543210_0_0_0&highlighted_blocks=965649202_369543210_0_0_0&matching_block_id=965649202_369543210_0_0_0&sr_pri_blocks=965649202_369543210_0_0_0__9000&from=searchresults,Tunis,36.8002068,10.1857757,Létablissement Saheb Ettabaa Tunis se situe à Tunis à respectivement 17 km et 1 km de ces lieux dintérêt  Salammbo Tophet Archaeological Museum et Sidi Mahrez Mosque Il possède un restaurant Cet hôtel 3 étoiles propose une terrasse ainsi que des hébergements dotés de la climatisation et dune salle de bains privative Cet hôtel vous accueille à respectivement 25 km et 25 km de  Kasbah Square et Parc du Belvédère Vous profiterez dune télévision à écran plat et darticles de toilette gratuits Le personnel de la réception ouverte 24h24 parle arabe anglais et français Vous séjournerez à proximité de ces lieux dintérêt  Dar Lasram Museum Kasbah Mosque et Médina Laéroport le plus proche Aéroport de Tunis-Carthage est à 11 km Les distances indiquées dans la description de létablissement sont calculées avec  OpenStreetMap,Hébergement,"Culture,Nature,Gastronomie",Oui,Court séjour,2025-06-15,
Booking.com,Tunis,Hotel AL KARMEL,7.0,308.0,Hôtel,https://www.booking.com/hotel/tn/al-karmel.fr.html?aid=304142&label=gen173nr-1FCAQoggJCFXNlYXJjaF90dW5pcywgdHVuaXNpZUgNWARo4gGIAQGYAQ24ARfIAQzYAQHoAQH4AQOIAgGoAgO4AsvfusIGwAIB0gIkZmEyZTAwZTQtOWI0OC00NTA0LTg3MjQtNzM5ZmI0NTU0MWQz2AIF4AIB&ucfs=1&arphpl=1&checkin=2025-06-25&checkout=2025-06-27&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=price&nflt=ht_id%3D204&srpvid=14f85165fc2b03cd&srepoch=1749987276&all_sr_blocks=226503204_378646432_0_1_0_709946&highlighted_blocks=226503204_378646432_0_1_0_709946&matching_block_id=226503204_378646432_0_1_0_709946&sr_pri_blocks=226503204_378646432_0_1_0_709946_9104&from=searchresults,Tunis,36.8002068,10.1857757,LHotel AL KARMEL se situe à Tunis à 900 mètres de la mosquée Sidi Mahrez Toutes les chambres comprennent la climatisation et une télévision Leur salle de bains privative est pourvue dune baignoire LHotel AL KARMEL met à votre disposition une connexion Wi-Fi gratuite dans lensemble de ses locaux La réception est ouverte 24h24 LHotel AL KARMEL se trouve à 11 km du parc du Belvédère et à 12 km du musée Dar Lasram Laéroport de Tunis est implanté à 6 km Les distances indiquées dans la description de létablissement sont calculées avec  OpenStreetMap,Hébergement,"Culture,Nature",Oui,Court séjour,2025-06-15,
